Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-12-09,Ed Wood,1994,https://boxd.it/mh8bt,5,Yes,,2017-12-08
2017-12-14,It's a Wonderful Life,1946,https://boxd.it/mqT01,5,Yes,,2017-12-11
2017-12-14,A Christmas Carol,2009,https://boxd.it/mqT1j,3,,,2017-12-13
2017-12-15,Star Wars: The Last Jedi,2017,https://boxd.it/msHL9,4,,w/ dad,2017-12-14
2017-12-16,Star Wars: The Last Jedi,2017,https://boxd.it/mtOoj,4,Yes,,2017-12-15
2017-12-25,Home Alone,1990,https://boxd.it/mM2LR,4.5,Yes,,2017-12-24
2017-12-29,Breathless,1960,https://boxd.it/mVz0R,4.5,,,2017-12-28
2017-12-29,A Movie,1958,https://boxd.it/mVHEZ,3.5,,,2017-12-28
2017-12-30,Citizen Kane,1941,https://boxd.it/mYC73,4.5,,,2017-12-29
2017-12-31,Do the Right Thing,1989,https://boxd.it/mZL8r,4.5,,,2017-12-30
2017-12-31,Down by Law,1986,https://boxd.it/n0QQb,3.5,,,2017-12-30
2018-01-08,The Fisher King,1991,https://boxd.it/nn1st,4,,,2018-01-07
2018-01-14,Eraserhead,1977,https://boxd.it/nBpY7,5,Yes,,2018-01-13
2018-01-14,Darkest Hour,2017,https://boxd.it/nC09b,3.5,,,2018-01-13
2018-01-14,A Woman Under the Influence,1974,https://boxd.it/nE8DR,4.5,,,2018-01-14
2018-02-09,Pee-wee's Big Adventure,1985,https://boxd.it/oyUrV,4,,,2018-02-08
2018-02-10,Pink Floyd: The Wall,1982,https://boxd.it/ozXwh,5,,,2018-02-09
2018-02-12,Fargo,1996,https://boxd.it/oFJqr,5,Yes,,2018-02-11
2018-02-15,In Bruges,2008,https://boxd.it/oLr8V,4.5,,,2018-02-14
2018-02-22,Sailing with Bushnell Keeler,1967,https://boxd.it/p1szb,3,,,2018-02-21
2018-02-23,Escape from New York,1981,https://boxd.it/p38it,4,Yes,,2018-02-22
2018-02-23,Breadcrumb Trail,2014,https://boxd.it/p3Rcb,4.5,,,2018-02-22
2018-02-24,Brazil,1985,https://boxd.it/p5Phx,5,Yes,,2018-02-23
2018-02-24,Meshes of the Afternoon,1943,https://boxd.it/p6n9R,4,,,2018-02-24
2018-02-24,Miracle of Flight,1974,https://boxd.it/p6nZX,3.5,,,2018-02-24
2018-02-25,Alvin and the Chipmunks,2007,https://boxd.it/p7CHB,1.5,Yes,,2018-02-24
2018-02-27,Six Men Getting Sick,1967,https://boxd.it/pe0Gp,3,,,2018-02-26
2018-03-01,"Papers, Please: The Short Film",2018,https://boxd.it/pjjEd,3.5,,,2018-02-28
2018-03-02,Alvin and the Chipmunks: Chipwrecked,2011,https://boxd.it/pkw1P,1.5,,,2018-03-01
2018-03-13,The Grand Budapest Hotel,2014,https://boxd.it/pOiel,5,Yes,,2018-03-13
2018-03-30,The Shape of Water,2017,https://boxd.it/qqWZH,4,,,2018-03-30
2018-03-31,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/qrHlJ,4.5,,,2018-03-30
2018-04-03,Ready Player One,2018,https://boxd.it/qzJv3,3,,,2018-04-02
2018-04-04,Raising Arizona,1987,https://boxd.it/qCtBb,3.5,,,2018-04-03
2018-04-04,Unconscious London Strata,1981,https://boxd.it/qCCcp,3,,,2018-04-03
2018-04-05,Die Hard,1988,https://boxd.it/qF8y7,4,Yes,,2018-04-04
2018-04-09,Justice League,2017,https://boxd.it/qNb6r,2,Yes,,2018-04-08
2018-04-09,The Smurfs 2,2013,https://boxd.it/qNwQv,1.5,,,2018-04-08
2018-04-09,Sightseers,2012,https://boxd.it/qObzP,3.5,,,2018-04-08
2018-04-13,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/qVZ2b,1.5,,,2018-04-12
2018-04-14,The Alphabet,1969,https://boxd.it/qYtyZ,3,,,2018-04-13
2018-04-14,The Wicker Man,1973,https://boxd.it/qYtTj,4,,,2018-04-13
2018-04-17,Rampage,2018,https://boxd.it/r5quT,2,,,2018-04-15
2018-04-17,Berberian Sound Studio,2012,https://boxd.it/r6zqj,3.5,,,2018-04-16
2018-05-01,Avengers: Infinity War,2018,https://boxd.it/rzoCL,3,,,2018-04-30
2018-05-12,The Death of Stalin,2017,https://boxd.it/rXb37,3.5,,,2018-05-11
2018-05-12,Black Panther,2018,https://boxd.it/rXb3L,2.5,,,2018-05-11
2018-05-16,The Elephant Man,1980,https://boxd.it/s4w87,4.5,,,2018-05-15
2018-05-16,The Post,2017,https://boxd.it/s4wlv,3,,,2018-05-15
2018-05-25,The King's Speech,2010,https://boxd.it/snjfx,3.5,,,2018-05-21
2018-05-25,Philomena,2013,https://boxd.it/snjgZ,3,,,2018-05-21
2018-05-25,Ocean's Eleven,2001,https://boxd.it/snji7,3.5,,,2018-05-24
